SAX1,SAX2,SAX3,TAXX,TAXY,TAXZ
8.41451632236e-34,3.36580652894e-33,3.36580652894e-33,6.46523830803e-07,2.63008484331e-07,1.63287462439e-06
1.54593788207e-33,6.18375152827e-33,6.18375152827e-33,6.19019724467e-06,2.68103527305e-06,1.77339506552e-05
1.19305065599e-33,4.77220262398e-33,4.77220262398e-33,1.73441645097e-05,7.60920414457e-06,5.03344906592e-05
7.62185025744e-34,3.04874010298e-33,3.04874010298e-33,2.70194143128e-05,1.1940783899e-05,7.76397902194e-05
3.91034517056e-34,1.56413806822e-33,1.56413806822e-33,2.92641174196e-05,1.30589005715e-05,8.21549598613e-05
1.51605139634e-34,6.06420558537e-34,6.06420558537e-34,2.37429789127e-05,1.07705757903e-05,6.38781494531e-05
3.86173036589e-35,1.54469214636e-34,1.54469214636e-34,1.46812505991e-05,6.87394450658e-06,3.64534536641e-05
4.01337529084e-36,1.60535011633e-35,1.60535011633e-35,6.82166875706e-06,3.42406740126e-06,1.42717172047e-05
8.99155543714e-38,3.59662217486e-37,3.59662217486e-37,2.32845086685e-06,1.3857146763e-06,3.0717067952e-06
1.15318908948e-36,4.61275635792e-36,4.61275635792e-36,6.52143561953e-07,5.53294934214e-07,1.38629390451e-07
8.13967849007e-37,3.25587139603e-36,3.25587139603e-36,2.80070628226e-07,2.93035753615e-07,2.6734566936e-07
1.33677405672e-37,5.34709622686e-37,5.34709622686e-37,2.09048354196e-07,1.80280179955e-07,4.26404167729e-07
1.27663619278e-38,5.10654477111e-38,5.10654477111e-38,1.7973939447e-07,1.07477978631e-07,2.09056078701e-07
1.11518630478e-37,4.46074521913e-37,4.46074521913e-37,2.12945039096e-07,8.51826493822e-08,6.15667724501e-08
8.81753186691e-38,3.52701274676e-37,3.52701274676e-37,2.78843844749e-07,9.5771344603e-08,9.41258356009e-08
1.42042844245e-38,5.68171376979e-38,5.68171376979e-38,3.09836072653e-07,9.93000079377e-08,1.34127351345e-07
3.60257406452e-39,1.44102962581e-38,1.44102962581e-38,2.96113921878e-07,8.16442684564e-08,1.05191189705e-07
2.23491964736e-38,8.93967858946e-38,8.93967858946e-38,2.75830255035e-07,5.69879211542e-08,6.77507270977e-08
1.74421293266e-38,6.97685173065e-38,6.97685173065e-38,2.72930310475e-07,4.04458393706e-08,6.42526043886e-08
2.41044774312e-39,9.64179097247e-39,9.64179097247e-39,2.80170715307e-07,3.42342703631e-08,7.42189665324e-08
1.38647137892e-39,5.5458855157e-39,5.5458855157e-39,2.83780601531e-07,3.32869135818e-08,7.63239093565e-08
6.4855161372e-39,2.59420645488e-38,2.59420645488e-38,2.79103841041e-07,3.28715824803e-08,7.62569257977e-08
4.77175123695e-39,1.90870049478e-38,1.90870049478e-38,2.65681130342e-07,3.04809558168e-08,8.04376344795e-08
5.1536192345e-40,2.0614476938e-39,2.0614476938e-39,2.4251758857e-07,2.56985300553e-08,8.20124297208e-08
6.39091880514e-40,2.55636752205e-39,2.55636752205e-39,2.11410350363e-07,2.00561300491e-08,7.53806929857e-08
2.35808251301e-39,9.43233005203e-39,9.43233005203e-39,1.78528565425e-07,1.5622325086e-08,6.49824173272e-08
1.59783351423e-39,6.39133405693e-39,6.39133405693e-39,1.49706002541e-07,1.31041653012e-08,5.66542510318e-08
1.21529008703e-40,4.8611603481e-40,4.8611603481e-40,1.26037510826e-07,1.16653415201e-08,5.04216925782e-08
3.31628065198e-40,1.32651226079e-39,1.32651226079e-39,1.04952359088e-07,1.02803650838e-08,4.38423341483e-08
9.97321434359e-40,3.98928573743e-39,3.98928573743e-39,8.41963022464e-08,8.65078169488e-09,3.65053854164e-08
